tiff_file,ground_truth
Dataset/ThermEval-D/Thermal_92,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_37,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_86,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_159,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_162,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_157,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_70,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_122,"['Nose', 'Chest', 'Forehead']"
Dataset/ThermEval-D/Thermal_160,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_61,"['Forehead', 'Chest', 'Nose']"
Dataset/ThermEval-D/Thermal_181,"['Nose', 'Chest', 'Forehead']"
Dataset/ThermEval-D/Thermal_19,"['Forehead', 'Nose']"
Dataset/ThermEval-D/Thermal_133,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_186,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_206,"['Nose', 'Chest', 'Forehead']"
Dataset/ThermEval-D/Thermal_49,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_75,"['Forehead', 'Nose']"
Dataset/ThermEval-D/Thermal_135,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_14,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_90,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_134,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_183,"['Nose', 'Chest', 'Forehead']"
Dataset/ThermEval-D/Thermal_172,"['Forehead', 'Nose']"
Dataset/ThermEval-D/Thermal_55,"['Forehead', 'Nose']"
Dataset/ThermEval-D/Thermal_29,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_146,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_169,"['Forehead', 'Nose']"
Dataset/ThermEval-D/Thermal_18,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_189,"['Chest', 'Forehead']"
Dataset/ThermEval-D/Thermal_120,"['Nose', 'Chest', 'Forehead']"
Dataset/ThermEval-D/Thermal_102,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_119,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_128,"['Nose', 'Forehead', 'Chest']"
